21:49:16.020 [TestNG-tests-1] INFO  utils.Log - Browser parameter is : CHROME
21:49:16.020 [TestNG-tests-2] INFO  utils.Log - Browser parameter is : FIREFOX
21:49:17.751 [TestNG-tests-1] INFO  utils.Log - Chrome =--> Thread.id = 22
21:49:19.245 [TestNG-tests-2] INFO  utils.Log - Firefox =--> Thread.id = 23
21:49:20.778 [TestNG-tests-1] INFO  utils.Log - +++++++++++++++++++++++++++++++++
21:49:20.779 [TestNG-tests-1] INFO  utils.Log - Started test :LoginTest - validloginTest
21:49:20.779 [TestNG-tests-1] INFO  utils.Log - LoginTest
21:49:20.779 [TestNG-tests-1] INFO  utils.Log - +++++++++++++++++++++++++++++++++
21:49:20.781 [TestNG-tests-1] INFO  utils.Log - Start time :2023.04.24.21.49.20
21:49:20.781 [TestNG-tests-1] INFO  utils.Log - +++++++++++++++++++++++++++++++++
21:49:22.246 [TestNG-tests-2] INFO  utils.Log - +++++++++++++++++++++++++++++++++
21:49:22.247 [TestNG-tests-2] INFO  utils.Log - Started test :LoginTest - validloginTest
21:49:22.248 [TestNG-tests-2] INFO  utils.Log - LoginTest
21:49:22.248 [TestNG-tests-2] INFO  utils.Log - +++++++++++++++++++++++++++++++++
21:49:22.248 [TestNG-tests-2] INFO  utils.Log - Start time :2023.04.24.21.49.22
21:49:22.248 [TestNG-tests-2] INFO  utils.Log - +++++++++++++++++++++++++++++++++
21:49:22.633 [TestNG-tests-1] INFO  utils.Log - +++++++++++++++++++++++++++++++++
21:49:22.633 [TestNG-tests-1] INFO  utils.Log - Passed test :validloginTest
21:49:22.633 [TestNG-tests-1] INFO  utils.Log - +++++++++++++++++++++++++++++++++
21:49:22.633 [TestNG-tests-1] INFO  utils.Log - End time :2023.04.24.21.49.22
21:49:22.634 [TestNG-tests-1] INFO  utils.Log - +++++++++++++++++++++++++++++++++
21:49:23.701 [TestNG-tests-2] INFO  utils.Log - +++++++++++++++++++++++++++++++++
21:49:23.702 [TestNG-tests-2] INFO  utils.Log - Passed test :validloginTest
21:49:23.702 [TestNG-tests-2] INFO  utils.Log - +++++++++++++++++++++++++++++++++
21:49:23.702 [TestNG-tests-2] INFO  utils.Log - End time :2023.04.24.21.49.23
21:49:23.702 [TestNG-tests-2] INFO  utils.Log - +++++++++++++++++++++++++++++++++
21:49:27.865 [TestNG-tests-1] INFO  utils.Log - Browser parameter is : EDGE
21:49:30.378 [TestNG-tests-1] INFO  utils.Log - Edge =--> Thread.id = 22
21:49:33.183 [TestNG-tests-1] INFO  utils.Log - +++++++++++++++++++++++++++++++++
21:49:33.183 [TestNG-tests-1] INFO  utils.Log - Started test :LoginTest - validloginTest
21:49:33.183 [TestNG-tests-1] INFO  utils.Log - LoginTest
21:49:33.183 [TestNG-tests-1] INFO  utils.Log - +++++++++++++++++++++++++++++++++
21:49:33.183 [TestNG-tests-1] INFO  utils.Log - Start time :2023.04.24.21.49.33
21:49:33.183 [TestNG-tests-1] INFO  utils.Log - +++++++++++++++++++++++++++++++++
21:49:34.800 [TestNG-tests-1] INFO  utils.Log - +++++++++++++++++++++++++++++++++
21:49:34.800 [TestNG-tests-1] INFO  utils.Log - Passed test :validloginTest
21:49:34.800 [TestNG-tests-1] INFO  utils.Log - +++++++++++++++++++++++++++++++++
21:49:34.800 [TestNG-tests-1] INFO  utils.Log - End time :2023.04.24.21.49.34
21:49:34.800 [TestNG-tests-1] INFO  utils.Log - +++++++++++++++++++++++++++++++++
